Name,Vac,Paco,Pdco,Vdco,Pso,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,Manufacturer,Model
ABB: MICRO-0.25-I-OUTD-US-208 208V [CEC 2014],208.0,250.0,259.5220505,40.24260317,1.771614224,-2.48e-05,-9.01e-05,6.69E-04,-0.0189,0.02,65.0,10.0,20.0,50.0,ABB,MICRO-0.25-I-OUTD-US-208 208V [CEC 2014]
ABB: MICRO-0.25-I-OUTD-US-208 [208V] 208V [CEC 2018],208.0,250.0,259.589,40.0,2.08961,-4.11634e-05,-9.06633e-05,0.000494304,-0.013170900000000001,0.02,50.0,6.48971,30.0,50.0,ABB,MICRO-0.25-I-OUTD-US-208 [208V] 208V [CEC 2018]
ABB: MICRO-0.25-I-OUTD-US-240 240V [CEC 2014],240.0,250.0,259.55269730000003,39.98224603,1.931193651,-2.6700000000000002e-05,-0.00015800000000000002,1.48E-03,-0.0346,0.05,65.0,10.0,20.0,50.0,ABB,MICRO-0.25-I-OUTD-US-240 240V [CEC 2014]
ABB: MICRO-0.25-I-OUTD-US-240 [240V] 240V [CEC 2018],240.0,250.0,259.492,40.0,2.24041,-3.92389e-05,-0.000132459,0.00241784,-0.0149263,0.05,50.0,6.4873,30.0,50.0,ABB,MICRO-0.25-I-OUTD-US-240 [240V] 240V [CEC 2018]
ABB: MICRO-0.3-I-OUTD-US-208 208V [CEC 2014],208.0,300.0,311.71455410000004,40.22711111,1.971053331,-3.570000000000001e-05,-0.000256,-8.33E-04,-0.0391,0.02,65.0,10.0,30.0,50.0,ABB,MICRO-0.3-I-OUTD-US-208 208V [CEC 2014]
ABB: MICRO-0.3-I-OUTD-US-208 [208V] 208V [CEC 2018],208.0,300.0,311.66900000000004,40.0,1.84651,-3.32498e-05,-0.000191995,0.000907295,-0.031741700000000005,0.02,50.0,7.79173,30.0,50.0,ABB,MICRO-0.3-I-OUTD-US-208 [208V] 208V [CEC 2018]
ABB: MICRO-0.3-I-OUTD-US-240 240V [CEC 2014],240.0,300.0,311.5049608,40.13609524,1.991341525,-3.06e-05,-0.00028900000000000003,-2.11E-03,-0.0495,0.05,65.0,10.0,30.0,50.0,ABB,MICRO-0.3-I-OUTD-US-240 240V [CEC 2014]
ABB: MICRO-0.3-I-OUTD-US-240 [240V] 240V [CEC 2018],240.0,300.0,311.58099999999996,40.0,1.95054,-3.37768e-05,-0.000256139,0.00245327,-0.0282233,0.05,50.0,7.7895199999999996,30.0,50.0,ABB,MICRO-0.3-I-OUTD-US-240 [240V] 240V [CEC 2018]
ABB: MICRO-0.3HV-I-OUTD-US-208 208V [CEC 2014],208.0,300.0,312.5233471,45.25942857,1.882620398,-4.88e-05,-0.000241,9.75E-04,-0.0276,0.06,79.0,10.5,30.0,75.0,ABB,MICRO-0.3HV-I-OUTD-US-208 208V [CEC 2014]
ABB: MICRO-0.3HV-I-OUTD-US-208 [208V] 208V [CEC 2018],208.0,300.0,312.423,45.0,1.7621,-4.4637299999999994e-05,-0.00019792,0.00220774,-0.0236806,0.06,60.0,6.94274,30.0,60.0,ABB,MICRO-0.3HV-I-OUTD-US-208 [208V] 208V [CEC 2018]
ABB: MICRO-0.3HV-I-OUTD-US-240 240V [CEC 2014],240.0,300.0,312.0220587,45.49500926,1.928591375,-3.54e-05,-0.00022799999999999999,-2.24E-04,-0.0396,0.06,79.0,10.5,30.0,75.0,ABB,MICRO-0.3HV-I-OUTD-US-240 240V [CEC 2014]
